Type,,,Authorships Institutions Lineage,,,Primary Topic Id,,,Open Access Is Oa,,,Publication Year,,
name,count,,name,count,,name,count,,name,count,,name,count,
,,,DIPF | Leibniz Institute for Research and Information in Education,1,,,,,,,,,,
,,,National Federation of Advanced Information Services,1,,,,,,,,,,
,,,Library and Information Centre of the Hungarian Academy of Sciences,1,,,,,,,,,,
,,,Institute of Information Science,1,,,,,,,,,,
,,,National Science Library,1,,,,,,,,,,
,,,Institute of Informatics,1,,,,,,,,,,
,,,College of Social and Media Culture,1,,,,,,,,,,
,,,Stockholm Environment Institute,1,,,,,,,,,,
,,,National Research Council,1,,,,,,,,,,
,,,Institute of Cognitive Sciences and Technologies,1,,,,,,,,,,
,,,Özyeğin University,1,,,,,,,,,,
,,,The University of Texas at San Antonio,1,,,,,,,,,,
,,,Shahid Beheshti University,1,,,,,,,,,,
,,,Mass General Brigham,1,,,,,,,,,,
,,,National Textile University,1,,,,,,,,,,
,,,Hangzhou Dianzi University,1,,,,,,,,,,
,,,The Ohio State University,1,,,,,,,,,,
,,,University of Turin,1,,,,,,,,,,
,,,Zhejiang University of Technology,1,,,,,,,,,,
,,,Libera Università Internazionale degli Studi Sociali Guido Carli,1,,,,,,,,,,
,,,Indiana University,1,,,,,,,,,,
,,,Stony Brook University,1,,,,,,,,,,
,,,Universitat Politècnica de València,1,,,,,,,,,,
,,,Universitatea Națională de Știință și Tehnologie Politehnica București,1,,,,,,,,,,
,,,Technical University of Munich,1,,,,,,,,,,
,,,Chung-Ang University,1,,,,,,,,,,
,,,AGH University of Krakow,1,,,,,,,,,,
,,,Syracuse University,1,,,,,,,,,,
,,,Drexel University,1,,,,,,,,,,
,,,The University of Tokyo,1,,,,,,,,,,
,,,Carnegie Mellon University,1,,,,,,,,,,
,,,Hungarian Academy of Sciences,1,,,,,,,,,,
,,,University of Coimbra,1,,,,,,,,,,
,,,Cardiff University,1,,,,,,,,,,
,,,Beihang University,1,,,,,,,,,,
,,,Shandong Institute of Business and Technology,1,,,,,,,,,,
,,,"University of California, Davis",1,,,,,,,,,,
,,,Sapienza University of Rome,1,,,,,,,,,,
,,,The University of Texas at Austin,1,,,,,,,,,,
,,,Universidad del Noreste,1,,,,,,,,,,
,,,University of Management and Technology,1,,,,,,,,,,
,,,Nanjing University,1,,,,,,,,,,
,,,Bucharest University of Economic Studies,1,,,,,,,,,,
,,,University of Amsterdam,1,,,,,,,,,,
